Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2469  : 2023-02-20, [0.20504951882712857, 1.4979994420754659, 10.546951039097404]
2470  : 2023-02-20, [0.21549069683317598, 1.5226913232442583, 10.761817979922565]
2471  : 2023-02-20, [0.22531143179162966, 1.5482704696425842, 10.976418098565786]
2472  : 2023-02-20, [0.23541671881794876, 1.57483726467449, 11.189746016507561]
2473  : 2023-02-20, [0.7112130366821782, 1.8993518165375418, 10.63943514678028]
2474  : 2023-02-20, [0.792034958907985, 1.8173788659283734, 10.89058617516364]
2475  : 2023-02-20, [0.06864058521735289, 1.9603776083892923, 11.720981806393354]
2476  : 2023-02-20, [0.07236415273395784, 1.9965611277769695, 11.931074719489073]
2477  : 2023-02-20, [0.2665468619452144, 1.822871189347722, 12.160581948707064]
2478  : 2023-02-20, [0.277885010725818, 1.8523569523330679, 12.369758036941116]
2479  : 2023-02-20, [0.2894525116255676, 1.8817326517029378, 12.578814836671494]
2480  : 2023-02-20, [0.30246549889098556, 1.9076885432072022, 12.789845957901813]
2481  : 2023-02-20, [0.3146694511074776, 1.9355604352216484, 12.999770113670875]
2482  : 2023-02-20, [0.3272520504154553, 1.9633735016869336, 13.209374447897611]
2483  : 2023-02-20, [0.3401058182474761, 1.990390170622352, 13.419504011130172]
2484  : 2023-02-20, [0.35455222376648315, 2.0146986800511417, 13.630749096182374]
2485  : 2023-02-20, [0.3681814703469245, 2.0409469849344792, 13.840871544718599]
2486  : 2023-02-20, [0.3833991971582477, 2.06294587819987, 14.053654924641881]
2487  : 2023-02-20, [0.39907079778093535, 2.0834629380476826, 14.26746626417138]
2488  : 2023-02-20, [0.4138800961790345, 2.1077270713797285, 14.478392832441237]
2489  : 2023-02-20, [0.4304422313684458, 2.1266196515370486, 14.692938117094506]
2490  : 2023-02-20, [0.448969747561676, 2.1408086271303586, 14.910221625307965]
