Itinerary: ['earth', 'venus', 'pluto']
4613  : 2024-02-10, [1.2620069347398144, 21.987993065260184]
4614  : 2024-02-10, [1.3415915888342136, 22.158408411165787]
4615  : 2024-02-10, [0.35433677320555523, 23.39566322679444]
4616  : 2024-02-10, [0.19179765705870222, 23.8082023429413]
4617  : 2024-02-10, [0.35487105018076, 23.89512894981924]
4618  : 2024-02-10, [0.1654004249278689, 24.33459957507213]
4619  : 2024-02-10, [0.21048683672916077, 24.53951316327084]
4620  : 2024-02-20, [0.17093299784429036, 9.82906700215571]
4621  : 2024-02-20, [0.17374343517339708, 10.076256564826602]
4622  : 2024-02-20, [0.1764752083915016, 10.323524791608499]
4623  : 2024-02-20, [0.17914288933462766, 10.570857110665372]
4624  : 2024-02-20, [0.18172668604819495, 10.818273313951805]
4625  : 2024-02-20, [0.18424103282577298, 11.065758967174228]
4626  : 2024-02-20, [0.18668077408322734, 11.313319225916773]
4627  : 2024-02-20, [0.18904057251771755, 11.560959427482283]
4628  : 2024-02-20, [0.1913304465374406, 11.80866955346256]
4629  : 2024-02-20, [0.19224608009630698, 12.057753919903693]
4630  : 2024-02-20, [0.1943497330153836, 12.305650266984618]
4631  : 2024-02-20, [0.1963717934719762, 12.553628206528025]
4632  : 2024-02-20, [0.19972721309280303, 12.800272786907199]
4633  : 2024-02-20, [0.20163135874166896, 13.04836864125833]
4634  : 2024-02-20, [0.2049351306058378, 13.295064869394162]
4635  : 2024-02-20, [0.2067217686924634, 13.543278231307536]
4636  : 2024-02-20, [0.20996345175828526, 13.790036548241712]
4637  : 2024-02-20, [0.21163229800894687, 14.038367701991053]
4638  : 2024-02-20, [0.21639933365162678, 14.283600666348372]
4639  : 2024-02-20, [0.2179881313092741, 14.532011868690724]
4640  : 2024-02-20, [0.2227667223220431, 14.777233277677956]
4641  : 2024-02-20, [0.22756486505609252, 15.022435134943908]
4642  : 2024-02-20, [0.21171341918276698, 15.288286580817234]
4643  : 2024-02-20, [0.21824483755593668, 15.531755162444064]
4644  : 2024-02-20, [0.22116129040933138, 15.77883870959067]
4645  : 2024-02-20, [0.21652331370232683, 16.033476686297675]
4646  : 2024-02-20, [0.20937433880133657, 16.290625661198664]
4647  : 2024-02-20, [0.2373312581938296, 16.51266874180617]
4648  : 2024-02-20, [0.24029572077430927, 16.75970427922569]
4649  : 2024-02-20, [0.2413478015748518, 17.00865219842515]
4650  : 2024-02-20, [0.2403613581320395, 17.259638641867962]
4651  : 2024-02-20, [0.24321210609504573, 17.506787893904953]
4652  : 2024-02-20, [0.24199388818833822, 17.758006111811664]
4653  : 2024-02-20, [0.24059592906439967, 18.009404070935602]
4654  : 2024-02-20, [0.2390147808001409, 18.26098521919986]
4655  : 2024-02-20, [0.23500286570103895, 18.51499713429896]
4656  : 2024-02-20, [0.23298017755631745, 18.767019822443682]
4657  : 2024-02-20, [0.2259588217924068, 19.024041178207593]
4658  : 2024-02-20, [0.21836911425567063, 19.281630885744327]
4659  : 2024-02-20, [0.2101767065638562, 19.539823293436143]
4660  : 2024-02-20, [1.3332138052060052, 18.666786194793996]
4661  : 2024-02-20, [0.14795014064288392, 20.10204985935712]
4662  : 2024-02-20, [1.083878529568144, 19.416121470431857]
4663  : 2024-02-20, [1.1065602353714832, 19.643439764628518]
4664  : 2024-02-20, [1.134931162470246, 19.865068837529755]
4665  : 2024-02-20, [1.173132486086403, 20.076867513913594]
4666  : 2024-02-20, [1.2349161988084094, 20.26508380119159]
4667  : 2024-02-20, [1.384226527502071, 20.365773472497928]
4668  : 2024-02-20, [0.1615270286509835, 21.838472971349017]
4669  : 2024-02-20, [0.31337743140206437, 21.936622568597933]
4670  : 2024-02-20, [0.18550141192297734, 22.31449858807702]
4671  : 2024-02-20, [0.3724054754585958, 22.3775945245414]
4672  : 2024-02-20, [0.31717098439474456, 22.682829015605254]
4673  : 2024-02-20, [0.27678197996936377, 22.973218020030636]
4674  : 2024-02-20, [0.13060546258946684, 23.369394537410532]
4675  : 2024-02-20, [0.18629656725553537, 23.563703432744465]
4676  : 2024-02-20, [0.24226075826300772, 23.757739241736992]
4677  : 2024-02-20, [0.31831796646872323, 23.931682033531278]
4678  : 2024-02-20, [0.2827313588487981, 24.2172686411512]
4679  : 2024-02-20, [0.29924797223134764, 24.45075202776865]
4680  : 2024-03-01, [0.17156899095392342, 9.828431009046076]
4681  : 2024-03-01, [0.17434441663012087, 10.07565558336988]
4682  : 2024-03-01, [0.1759302044250824, 10.324069795574918]
4683  : 2024-03-01, [0.1796658408176619, 10.57033415918234]
4684  : 2024-03-01, [0.182206081189295, 10.817793918810704]
4685  : 2024-03-01, [0.18467412889025264, 11.065325871109748]
4686  : 2024-03-01, [0.18581794004705973, 11.314182059952941]
4687  : 2024-03-01, [0.1880897011009323, 11.561910298899068]
4688  : 2024-03-01, [0.19160651446341054, 11.808393485536591]
4689  : 2024-03-01, [0.19376242619792594, 12.056237573802074]
4690  : 2024-03-01, [0.1958340012001162, 12.304165998799885]
4691  : 2024-03-01, [0.19924877867197235, 12.550751221328028]
4692  : 2024-03-01, [0.20120438215831424, 12.798795617841686]
4693  : 2024-03-01, [0.20456032168914423, 13.045439678310855]
4694  : 2024-03-01, [0.20789945837491422, 13.292100541625086]
4695  : 2024-03-01, [0.21121620870672084, 13.53878379129328]
4696  : 2024-03-01, [0.21452229033871098, 13.78547770966129]
4697  : 2024-03-01, [0.20977592794251532, 14.040224072057484]
4698  : 2024-03-01, [0.21292343582457296, 14.287076564175427]
4699  : 2024-03-01, [0.21090862856564555, 14.539091371434353]
4700  : 2024-03-01, [0.22257364815650638, 14.777426351843491]
4701  : 2024-03-01, [0.22399687660569675, 15.026003123394304]
4702  : 2024-03-01, [0.2253457032544881, 15.274654296745512]
4703  : 2024-03-01, [0.22661377620832315, 15.523386223791677]
4704  : 2024-03-01, [0.2278004783567555, 15.772199521643245]
4705  : 2024-03-01, [0.22890544840591212, 16.021094551594086]
4706  : 2024-03-01, [0.2279784951176929, 16.272021504882307]
4707  : 2024-03-01, [0.2288760497450381, 16.521123950254964]
4708  : 2024-03-01, [0.22764172654707038, 16.772358273452927]
4709  : 2024-03-01, [0.22621558922580215, 17.023784410774198]
4710  : 2024-03-01, [0.22239726541245153, 17.277602734587546]
4711  : 2024-03-01, [0.21821690885732262, 17.531783091142675]
4712  : 2024-03-01, [0.21127351724981352, 17.788726482750185]
4713  : 2024-03-01, [0.2062499383226109, 18.04375006167739]
4714  : 2024-03-01, [0.29033951985927375, 18.209660480140727]
4715  : 2024-03-01, [0.3164045181453248, 18.433595481854674]
4716  : 2024-03-01, [1.0413256664477752, 17.958674333552224]
4717  : 2024-03-01, [1.0685051197541233, 18.18149488024588]
4718  : 2024-03-01, [1.1005527827439316, 18.399447217256068]
4719  : 2024-03-01, [1.1622086961629372, 18.58779130383706]
4720  : 2024-03-01, [1.355038841851967, 18.644961158148032]
4721  : 2024-03-01, [0.3372024928489409, 19.91279750715106]
4722  : 2024-03-01, [0.18824629122774017, 20.311753708772258]
4723  : 2024-03-01, [0.3269823122791754, 20.423017687720826]
4724  : 2024-03-01, [0.28263235416721366, 20.717367645832784]
4725  : 2024-03-01, [0.15602587806007862, 21.093974121939922]
4726  : 2024-03-01, [0.19219839608249412, 21.307801603917504]
4727  : 2024-03-01, [0.23751835796835552, 21.512481642031645]
4728  : 2024-03-01, [0.2595798407570303, 21.74042015924297]
4729  : 2024-03-01, [1.504132630255809, 20.745867369744193]
4730  : 2024-03-01, [0.387990888574448, 22.11200911142555]
4731  : 2024-03-01, [0.38440483713025475, 22.36559516286974]
4732  : 2024-03-01, [0.37413142325246274, 22.62586857674754]
4733  : 2024-03-01, [0.3606684691111072, 22.889331530888892]
4734  : 2024-03-01, [0.3412546785295282, 23.158745321470473]
4735  : 2024-03-01, [0.3144243222432998, 23.4355756777567]
4736  : 2024-03-01, [0.2809832497912296, 23.71901675020877]
4737  : 2024-03-01, [0.2323171194841189, 24.017682880515885]
4738  : 2024-03-01, [0.16603901183880224, 24.3339609881612]
4739  : 2024-03-01, [0.08071260694373063, 24.66928739305627]
4740  : 2024-03-10, [0.1721601724418621, 9.827839827558137]
4741  : 2024-03-10, [0.17377892465186615, 10.076221075348133]
4742  : 2024-03-10, [0.17640482565669607, 10.323595174343303]
4743  : 2024-03-10, [0.1789508383755516, 10.571049161624448]
4744  : 2024-03-10, [0.18141660646370408, 10.818583393536297]
4745  : 2024-03-10, [0.18379648094490297, 11.066203519055097]
4746  : 2024-03-10, [0.18740302034707074, 11.31259697965293]
4747  : 2024-03-10, [0.18965787508521342, 11.560342124914788]
4748  : 2024-03-10, [0.19183682468998908, 11.80816317531001]
4749  : 2024-03-10, [0.19533258191325883, 12.054667418086742]
4750  : 2024-03-10, [0.198805102190426, 12.301194897809575]
4751  : 2024-03-10, [0.2022657016997109, 12.547734298300288]
4752  : 2024-03-10, [0.20862193281553715, 12.791378067184462]
4753  : 2024-03-10, [0.20611809554968455, 13.043881904450314]
