Itinerary: ['earth', 'mars', 'pluto']
13199 : 2028-02-01, [0.42846381117820337, 24.321536188821796]
13200 : 2028-02-10, [0.6804727859877118, 9.31952721401229]
13201 : 2028-02-10, [0.7304633183861158, 9.519536681613886]
13202 : 2028-02-10, [0.7816407912507018, 9.718359208749296]
13203 : 2028-02-10, [0.8366279002579244, 9.913372099742075]
13204 : 2028-02-10, [0.0785315816116293, 10.92146841838837]
13205 : 2028-02-10, [0.34648624103586195, 10.903513758964138]
13206 : 2028-02-10, [0.5222402023139825, 10.97775979768602]
13207 : 2028-02-10, [0.5466583524220244, 11.203341647577977]
13208 : 2028-02-10, [0.5738486042077343, 11.426151395792267]
13209 : 2028-02-10, [0.73871121003124, 11.511288789968761]
13210 : 2028-02-10, [0.7735144364188695, 11.726485563581132]
13211 : 2028-02-10, [0.8139831468410523, 11.936016853158948]
13212 : 2028-02-10, [0.8529317320411255, 12.147068267958876]
13213 : 2028-02-10, [0.9003683888439592, 12.34963161115604]
13214 : 2028-02-10, [0.10277632916050618, 13.397223670839493]
13215 : 2028-02-10, [0.1336138642551533, 13.616386135744847]
13216 : 2028-02-10, [0.15920254911634774, 13.840797450883652]
13217 : 2028-02-10, [0.19004518706471282, 14.059954812935288]
13218 : 2028-02-10, [0.22479858072374678, 14.275201419276254]
13219 : 2028-02-10, [0.26196870114908666, 14.488031298850915]
13220 : 2028-02-10, [0.45815854361419445, 14.541841456385805]
13221 : 2028-02-10, [0.490599640301378, 14.759400359698622]
13222 : 2028-02-10, [0.5186346003517562, 14.981365399648244]
13223 : 2028-02-10, [0.5570407193481646, 15.192959280651834]
13224 : 2028-02-10, [0.6000925806259769, 15.399907419374022]
13225 : 2028-02-10, [0.6481546929518851, 15.601845307048116]
13226 : 2028-02-10, [0.8830627459953645, 15.616937254004636]
13227 : 2028-02-10, [0.9183889744199104, 15.83161102558009]
13228 : 2028-02-10, [0.9667642137568613, 16.033235786243136]
13229 : 2028-02-10, [1.016301598921847, 16.23369840107815]
13230 : 2028-02-10, [1.0669395654597174, 16.433060434540284]
13231 : 2028-02-10, [1.1283396453321568, 16.62166035466784]
13232 : 2028-02-10, [1.1876749254320498, 16.81232507456795]
13233 : 2028-02-10, [1.2611638023470366, 16.98883619765296]
13234 : 2028-02-10, [1.344322625424582, 17.155677374575415]
13235 : 2028-02-10, [0.13627234749311756, 18.61372765250688]
13236 : 2028-02-10, [0.1975253908273325, 18.802474609172666]
13237 : 2028-02-10, [0.26649273323795236, 18.983507266762047]
13238 : 2028-02-10, [0.3612175235228979, 19.1387824764771]
13239 : 2028-02-10, [0.47199762798605477, 19.278002372013948]
13240 : 2028-02-10, [0.39173915157724537, 19.608260848422752]
13241 : 2028-02-10, [0.44990994273331847, 19.80009005726668]
13242 : 2028-02-10, [0.5503912034919268, 19.949608796508073]
13243 : 2028-02-10, [0.6481694492052642, 20.101830550794737]
13244 : 2028-02-10, [0.7698029600119496, 20.23019703998805]
13245 : 2028-02-10, [0.6504379297389287, 20.599562070261072]
13246 : 2028-02-10, [0.7098160804764944, 20.790183919523503]
13247 : 2028-02-10, [0.8179428182248832, 20.932057181775118]
13248 : 2028-02-10, [0.9194662132139283, 21.08053378678607]
13249 : 2028-02-10, [1.1015836280960702, 21.14841637190393]
13250 : 2028-02-10, [1.3782560518933071, 21.121743948106694]
13251 : 2028-02-10, [0.20207336779559784, 22.5479266322044]
13252 : 2028-02-10, [1.490769089703609, 21.509230910296388]
13253 : 2028-02-10, [0.20999887082262014, 23.04000112917738]
13254 : 2028-02-10, [0.5665165976834013, 22.9334834023166]
13255 : 2028-02-10, [0.29652419548675274, 23.453475804513246]
13256 : 2028-02-10, [0.5260778087227678, 23.473922191277232]
13257 : 2028-02-10, [1.6088535639717614, 22.64114643602824]
13258 : 2028-02-10, [0.18943027029166482, 24.31056972970833]
13259 : 2028-02-10, [0.3298650528991066, 24.420134947100895]
13260 : 2028-02-20, [0.6883789784614576, 9.311621021538544]
13261 : 2028-02-20, [0.7380448227556132, 9.511955177244387]
13262 : 2028-02-20, [0.7863196152190356, 9.713680384780965]
13263 : 2028-02-20, [0.8373569061255516, 9.912643093874447]
13264 : 2028-02-20, [0.9209540250759681, 10.079045974924032]
13265 : 2028-02-20, [0.10689444240186213, 11.143105557598139]
13266 : 2028-02-20, [0.3691221335264034, 11.130877866473599]
13267 : 2028-02-20, [0.5454506559351933, 11.204549344064809]
13268 : 2028-02-20, [0.5705033212191983, 11.4294966787808]
13269 : 2028-02-20, [0.6115969473389959, 11.638403052661005]
13270 : 2028-02-20, [0.7738175108229548, 11.726182489177045]
13271 : 2028-02-20, [0.8116545436117827, 11.938345456388218]
13272 : 2028-02-20, [0.8528095415845257, 12.147190458415473]
13273 : 2028-02-20, [0.8973540050683824, 12.352645994931619]
13274 : 2028-02-20, [0.9655554938311398, 12.53444450616886]
13275 : 2028-02-20, [0.11526264916928408, 13.634737350830717]
13276 : 2028-02-20, [0.14043846746727254, 13.859561532532728]
13277 : 2028-02-20, [0.1709007427132831, 14.079099257286718]
13278 : 2028-02-20, [0.2053021261045959, 14.294697873895405]
13279 : 2028-02-20, [0.24218178224584608, 14.507818217754153]
13280 : 2028-02-20, [0.27974905314279375, 14.720250946857208]
13281 : 2028-02-20, [0.4731766397645782, 14.776823360235422]
13282 : 2028-02-20, [0.5007466009916668, 14.999253399008333]
13283 : 2028-02-20, [0.5363199322851891, 15.213680067714812]
13284 : 2028-02-20, [0.5762402111080777, 15.423759788891923]
13285 : 2028-02-20, [0.6283742439469783, 15.621625756053021]
