Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
212   : 2022-02-01, [0.18302713795726325, 3.3053402838567254, 14.511632578186012]
213   : 2022-02-01, [0.18349927955503978, 3.3391939895736047, 14.727306730871357]
214   : 2022-02-01, [0.18020853804774054, 3.3550142193951284, 14.96477724255713]
215   : 2022-02-01, [0.1767772233890764, 3.371415052817773, 15.20180772379315]
216   : 2022-02-01, [0.17507414128249352, 3.395401445958219, 15.429524412759287]
217   : 2022-02-01, [0.17131748368095828, 3.4103664134737555, 15.668316102845287]
218   : 2022-02-01, [0.16734445412406165, 3.422917030174953, 15.909738515700983]
219   : 2022-02-01, [0.16322988759557475, 3.436062380095611, 16.150707732308813]
220   : 2022-02-01, [0.1589355932069619, 3.4484155146636617, 16.392648892129376]
221   : 2022-02-01, [0.15445539815362155, 3.460043877741713, 16.635500724104666]
222   : 2022-02-01, [0.43808262446569435, 2.1341653731326344, 17.92775200240167]
223   : 2022-02-01, [0.448841681417257, 2.1945240622300513, 18.10663425635269]
224   : 2022-02-01, [0.4556519930217832, 2.2322613202186607, 18.312086686759557]
225   : 2022-02-01, [0.46453836032574614, 2.2817264177067194, 18.503735221967535]
226   : 2022-02-01, [0.47142027883175475, 2.3197366235234735, 18.70884309764477]
227   : 2022-02-01, [0.4824207712146626, 2.3817581395114065, 18.88582108927393]
228   : 2022-02-01, [0.4914154151438872, 2.431814152653809, 19.076770432202302]
229   : 2022-02-01, [0.5004783363468911, 2.482301913956582, 19.26721974969653]
230   : 2022-02-01, [0.5097439917635377, 2.534895751480001, 19.45536025675646]
231   : 2022-02-01, [0.5209802504040361, 2.597774067295491, 19.631245682300474]
232   : 2022-02-01, [0.5280681507321049, 2.636789381856364, 19.835142467411533]
233   : 2022-02-01, [0.5417069873849694, 2.7146942481765675, 19.993598764438463]
234   : 2022-02-01, [0.5511914608059639, 2.768132258013221, 20.180676281180816]
235   : 2022-02-01, [0.5584320633213039, 2.808019082889302, 20.383548853789392]
236   : 2022-02-01, [0.5723387170540981, 2.883607013974119, 20.54405426897178]
237   : 2022-02-01, [0.5839681076499443, 2.9560803678137355, 20.709951524536322]
238   : 2022-02-01, [0.5935421133578902, 3.008662472110708, 20.8977954145314]
239   : 2022-02-01, [0.6032730783838841, 3.063665476356011, 21.083061445260107]
240   : 2022-02-10, [0.19650504405469105, 0.7496837147753851, 9.053811241169925]
241   : 2022-02-10, [0.19993463564906722, 0.7603768388178053, 9.289688525533128]
242   : 2022-02-10, [0.20214689379678294, 0.7631512771342167, 9.534701829069]
243   : 2022-02-10, [0.20540006172360528, 0.772881387923554, 9.771718550352839]
244   : 2022-02-10, [0.20860216372043303, 0.7821570247489013, 10.009240811530665]
245   : 2022-02-10, [0.21172082277866297, 0.7911541839703633, 10.247124993250974]
246   : 2022-02-10, [0.21477566823193325, 0.7996426416851481, 10.485581690082919]
247   : 2022-02-10, [0.2177643448815325, 0.807764125605966, 10.724471529512503]
248   : 2022-02-10, [0.22068533193354536, 0.8153489909186175, 10.963965677147836]
249   : 2022-02-10, [0.22224400331072494, 0.8147647914447926, 11.212991205244482]
250   : 2022-02-10, [0.22499850341820626, 0.8214151250746672, 11.453586371507127]
251   : 2022-02-10, [0.227690363942377, 0.8278791445746386, 11.694430491482985]
252   : 2022-02-10, [0.2303256047497843, 0.8338318427341908, 11.935842552516023]
253   : 2022-02-10, [0.23147899556350918, 0.8309146785859115, 12.18760632585058]
254   : 2022-02-10, [0.2297752404776771, 0.8115218665915624, 12.45870289293076]
255   : 2022-02-10, [0.23361233970564707, 0.8254533164932246, 12.690934343801128]
256   : 2022-02-10, [0.234459064141506, 0.8203134700153072, 12.945227465843187]
257   : 2022-02-10, [0.2367452462763364, 0.8247474492707754, 13.188507304452887]
