Itinerary: ['earth', 'MARS_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
4614  : 2024-02-10, [0.9761298734830849, 3.944514372889784, 18.579355753627134]
4615  : 2024-02-10, [0.9990089701095627, 3.9512352164222215, 18.799755813468217]
4616  : 2024-02-10, [1.0235740163165525, 3.953384908230952, 19.023041075452497]
4617  : 2024-02-10, [1.0477621339300627, 3.953740458471647, 19.24849740759829]
4618  : 2024-02-10, [1.070124071595338, 3.9581934921254023, 19.471682436279263]
4619  : 2024-02-10, [1.0920281201459794, 3.957325715812195, 19.700646164041824]
4620  : 2024-02-20, [0.25059935580137976, 0.4909958188514919, 9.258404825347128]
4621  : 2024-02-20, [0.2589345790680886, 0.4926029184243566, 9.498462502507556]
4622  : 2024-02-20, [0.26753204766432953, 0.5101047603404002, 9.722363191995269]
4623  : 2024-02-20, [0.2719437431228274, 0.679817675144372, 9.7982385817328]
4624  : 2024-02-20, [0.23811692738253046, 2.2347793927451605, 8.527103679872308]
4625  : 2024-02-20, [0.24554588625384544, 2.2753611558249744, 8.72909295792118]
4626  : 2024-02-20, [0.2979215838745963, 0.7053484489925592, 10.496729967132845]
4627  : 2024-02-20, [0.30712148513748316, 0.7116374618065494, 10.731241053055967]
4628  : 2024-02-20, [0.316447467454818, 0.7171303589691799, 10.966422173576003]
4629  : 2024-02-20, [0.32593687789786124, 0.7225060415208805, 11.201557080581258]
4630  : 2024-02-20, [0.3355438402810382, 0.7270478459204756, 11.437408313798484]
4631  : 2024-02-20, [0.345274585496625, 0.7313934195719646, 11.67333199493141]
4632  : 2024-02-20, [0.355189993133181, 0.7354694228532209, 11.909340584013597]
4633  : 2024-02-20, [0.36640619730551904, 0.7346840042134947, 12.148909798480986]
4634  : 2024-02-20, [0.37659125805223415, 0.7376618475518244, 12.385746894395941]
4635  : 2024-02-20, [0.3881936021937026, 0.7357514050342345, 12.626054992772064]
4636  : 2024-02-20, [0.39868506239377194, 0.7379588921748894, 12.863356045431338]
4637  : 2024-02-20, [0.4106673194728783, 0.7352018445653251, 13.104130835961797]
4638  : 2024-02-20, [0.42284522823997855, 0.7320425242579202, 13.345112247502103]
4639  : 2024-02-20, [0.4338127759109769, 0.7330394016477801, 13.583147822441244]
4640  : 2024-02-20, [0.44633037556311533, 0.7290539019080176, 13.824615722528867]
4641  : 2024-02-20, [0.46040599093827217, 0.7234819280214494, 14.066112081040279]
4642  : 2024-02-20, [0.46974628874761115, 0.774301606870714, 14.255952104381674]
4643  : 2024-02-20, [0.4829987363801791, 0.7712226630854596, 14.495778600534363]
4644  : 2024-02-20, [0.4177165456335666, 3.223474846564085, 12.358808607802347]
4645  : 2024-02-20, [0.43037761371888866, 3.254780716829088, 12.564841669452026]
4646  : 2024-02-20, [0.43824098557475827, 3.361251122399673, 12.700507892025568]
4647  : 2024-02-20, [0.45130662066370686, 3.399434935315067, 12.899258444021227]
