Itinerary: ['earth', 'JUPITER_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2414  : 2023-02-10, [1.1284063542153535, 2.76303378998784, 9.608559855796805]
2415  : 2023-02-10, [1.1522864833534578, 2.8131612379002084, 9.784552278746334]
2416  : 2023-02-10, [1.1762699782723915, 2.863455811776899, 9.96027420995071]
2417  : 2023-02-10, [1.200391443912686, 2.9135989376627136, 10.1360096184246]
2418  : 2023-02-10, [1.2242385080315557, 2.964394732564275, 10.311366759404171]
2419  : 2023-02-10, [1.248655670907267, 3.0147140157881283, 10.486630313304605]
2420  : 2023-02-10, [1.273136393570056, 3.064905355687816, 10.661958250742128]
2421  : 2023-02-10, [1.297720287300715, 3.115292763867735, 10.83698694883155]
2422  : 2023-02-10, [1.3225104694797738, 3.165677109253254, 11.011812421266972]
2423  : 2023-02-10, [1.3473609108738955, 3.2159316383961953, 11.186707450729907]
2424  : 2023-02-10, [1.3724085545065796, 3.2666253651018464, 11.360966080391574]
2425  : 2023-02-10, [1.397935968272272, 3.3164211200270572, 11.535642911700672]
2426  : 2023-02-10, [1.4232435765273979, 3.3671879731525207, 11.70956845032008]
2427  : 2023-02-10, [1.448675088371537, 3.417739185865263, 11.8835857257632]
2428  : 2023-02-10, [1.4747118606134195, 3.467861133395635, 12.057427005990945]
2429  : 2023-02-10, [1.5003103610885855, 3.5185272014788387, 12.231162437432575]
2430  : 2023-02-10, [1.526626867260724, 3.5687285605289785, 12.404644572210298]
2431  : 2023-02-10, [1.5526743382946282, 3.619929853777474, 12.577395807927898]
2432  : 2023-02-10, [1.5792773406031797, 3.670234636216619, 12.750488023180202]
2433  : 2023-02-10, [1.6060018205233928, 3.7208151999672565, 12.923182979509352]
2434  : 2023-02-10, [1.632406947039772, 3.771798952789523, 13.095794100170705]
2435  : 2023-02-10, [1.6595049974175644, 3.8227087823660195, 13.267786220216417]
2436  : 2023-02-10, [1.6866930847687693, 3.873254474372329, 13.4400524408589]
2437  : 2023-02-10, [1.7140929854862081, 3.9243135059183065, 13.611593508595487]
2438  : 2023-02-10, [1.741614489904057, 3.975075191396165, 13.783310318699778]
2439  : 2023-02-10, [1.7693197311736317, 4.026301257061191, 13.954379011765177]
2440  : 2023-02-10, [1.7977466297237414, 4.077094588072994, 14.125158782203265]
2441  : 2023-02-10, [1.8258311266822622, 4.128322713046929, 14.295846160270807]
2442  : 2023-02-10, [1.8540095732924262, 4.179836840692314, 14.466153586015261]
2443  : 2023-02-10, [1.8829341126628574, 4.230918916938259, 14.636146970398885]
2444  : 2023-02-10, [1.9116039828856521, 4.283031039394846, 14.805364977719504]
