Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
13114 : 2028-01-20, [0.09478368426611047, 1.1098098500364826, 4.26011845279009, 13.035288012907316]
13115 : 2028-01-20, [0.17069516694718145, 1.3965149081425383, 2.27197880972687, 14.91081111518341]
13116 : 2028-01-20, [0.17339008683871965, 1.3103749942994956, 4.657493707646078, 12.858741211215706]
13117 : 2028-01-20, [0.28731815472491695, 1.338361256912946, 4.766494064589683, 12.857826523772454]
13118 : 2028-01-20, [0.45242674682229245, 1.376243275826005, 4.928536964919636, 12.742793012432065]
13119 : 2028-01-20, [0.07885795107146278, 1.2839933181265124, 4.076949629144974, 14.31019910165705]
13120 : 2028-01-20, [0.2543908081126716, 0.19701931686601368, 2.2899971465485582, 17.258592728472756]
13121 : 2028-01-20, [0.39408361994659563, 0.3672620041929539, 2.194640249201258, 17.294014126659192]
13122 : 2028-01-20, [0.8926849130525384, 1.3182722840784722, 3.615180632989657, 14.67386216987933]
13123 : 2028-01-20, [0.888540227207405, 1.3314714010019773, 3.556279288279828, 14.973709083510792]
13124 : 2028-01-20, [0.34592987973658923, 0.1725984149820773, 0.46349327866225554, 20.017978426619077]
13125 : 2028-01-20, [0.37520524975235137, 0.20358270052993963, 0.484498561481539, 20.186713488236173]
13126 : 2028-01-20, [0.380373230684093, 0.21891097210610264, 0.4612798374133669, 20.439435959796437]
13127 : 2028-01-20, [0.42379640198425567, 0.2603942147585493, 0.5026204880839666, 20.56318889517323]
13128 : 2028-01-20, [0.9244185282634632, 1.7201747174725925, 1.5222264770699028, 17.833180277194042]
13129 : 2028-01-20, [1.0063076254853718, 1.7931719224929883, 1.5351972260021776, 17.915323226019463]
13130 : 2028-01-20, [1.1481014600857051, 0.2402907680513148, 1.6443863101725944, 19.467221461690386]
13131 : 2028-01-20, [1.2493568675279758, 0.3897444292627977, 1.6132221375035931, 19.497676565705635]
13132 : 2028-01-20, [0.1778294987594141, 0.5799570105668005, 1.6596677668637596, 20.58254572381002]
13133 : 2028-01-20, [0.30468595930003267, 1.4112850362145957, 2.2980443796811634, 19.235984624804207]
13134 : 2028-01-20, [0.1796423636288204, 0.645283059697938, 2.483802271002796, 20.19127230567045]
13135 : 2028-01-20, [0.5011284194432206, 0.7886470948207603, 2.7518826706593065, 19.708341815076714]
13136 : 2028-01-20, [0.5531945564466082, 0.8170805241583082, 2.78410380158253, 19.845621117812552]
13137 : 2028-01-20, [1.1364586060896484, 1.8183907466176583, 5.351583069183389, 15.943567578109304]
13138 : 2028-01-20, [0.6323015460702106, 0.4032422153535863, 1.1473607333954847, 22.317095505180717]
13139 : 2028-01-20, [0.057220146231993126, 0.5574646518219797, 1.2886640433401984, 22.84665115860583]
13140 : 2028-02-01, [0.42237700816373464, 0.7216354647264752, 0.7842033152996997, 8.07178421181009]
13141 : 2028-02-01, [0.43612838261190584, 0.7464143118709156, 0.7888736078529484, 8.278583697664232]
13142 : 2028-02-01, [0.07990886128396509, 0.7822256612733327, 1.4194709753038444, 8.218394502138858]
13143 : 2028-02-01, [0.1896095065447878, 0.5649188622953504, 1.0430173835942855, 8.952454247565576]
13144 : 2028-02-01, [0.5560257399187698, 0.8537873352447899, 0.9386309449104496, 8.651555979925991]
13145 : 2028-02-01, [0.5848133622649535, 0.8884794760041598, 0.9492312818971734, 8.827475879833713]
13146 : 2028-02-01, [0.6345143806937206, 0.7760213440342285, 1.4192862900634162, 8.670177985208635]
13147 : 2028-02-01, [0.04852485906359824, 0.8476375664353183, 1.5316352929478323, 9.32220228155325]
13148 : 2028-02-01, [0.07977860335604485, 0.704767972526048, 1.9023342357175297, 9.313119188400378]
13149 : 2028-02-01, [0.08419287212799442, 0.7320231046595098, 1.9084844635927434, 9.525299559619754]
13150 : 2028-02-01, [0.11032124178747722, 0.7563151553066716, 3.2232412132908537, 8.410122389614996]
13151 : 2028-02-01, [0.1049480515408132, 0.38331097771945766, 2.3039864996888793, 9.957754471050851]
13152 : 2028-02-01, [0.18014785378267617, 0.49891878715751825, 2.310820120706056, 10.010113238353748]
13153 : 2028-02-01, [0.7767923420400256, 0.43742812345732834, 4.340094690959613, 7.695684843543034]
13154 : 2028-02-01, [0.8200954213833282, 0.5051616311091536, 4.353128576220037, 7.82161437128748]
13155 : 2028-02-01, [0.8769248813244479, 0.5925727627382325, 4.349205839206105, 7.931296516731216]
13156 : 2028-02-01, [0.9412710090396447, 0.6808575684374886, 4.335934612871625, 8.041936809651242]
13157 : 2028-02-01, [1.0151547614258223, 0.7697189155319255, 4.327654376058086, 8.137471946984165]
13158 : 2028-02-01, [0.38808743580490696, 0.9346330225432538, 3.5501337715768133, 9.627145770075025]
13159 : 2028-02-01, [0.49193491784961585, 1.0178222440975684, 3.434722533601774, 9.805520304451042]
13160 : 2028-02-01, [1.058131473262206, 1.6893735238728735, 2.581833703045759, 9.670661299819162]
13161 : 2028-02-01, [0.6921160969586403, 1.2255532608465123, 1.3165657482474369, 12.015764893947411]
13162 : 2028-02-01, [0.7288147459874311, 1.2634134061159437, 1.3523592925727959, 12.15541255532383]
13163 : 2028-02-01, [0.7764506979633529, 1.3060906513091015, 1.3930110719926374, 12.274447578734907]
13164 : 2028-02-01, [0.8046377294482768, 1.3422286581676695, 1.401254868221616, 12.451878744162437]
13165 : 2028-02-01, [0.8580621553970387, 1.3826216267619218, 1.4415459546835376, 12.5677702631575]
13166 : 2028-02-01, [0.21936995199981682, 0.9900048852190996, 3.5705225472977102, 11.720102615483372]
13167 : 2028-02-01, [0.3700616814369379, 0.7044818587950827, 0.9618418796644914, 14.71361458010349]
13168 : 2028-02-01, [0.4057785184152764, 0.09427420422595173, 1.01766860694339, 15.482278670415383]
13169 : 2028-02-01, [0.9705388798266975, 1.5042524531262749, 2.1883414084577164, 12.586867258589313]
13170 : 2028-02-01, [0.08481932132900276, 1.6420082849959008, 2.4929354117780793, 13.280236981897017]
13171 : 2028-02-01, [0.32971481746087017, 0.13590198389215205, 0.4161042066400772, 16.868278992006903]
13172 : 2028-02-01, [1.3304255220594903, 0.6064880210181098, 1.606331457525286, 14.456754999397113]
13173 : 2028-02-01, [1.436350569235436, 0.72670010601873, 1.626544884847113, 14.46040443989872]
13174 : 2028-02-01, [1.5841495926011302, 0.8802864271616797, 1.7066304082341628, 14.328933572003027]
13175 : 2028-02-01, [0.54841625235138, 0.8050765015078889, 1.599337368083305, 15.797169878057426]
13176 : 2028-02-01, [1.3995679011901243, 0.3174677041013891, 2.8480284469224446, 14.434935947786043]
13177 : 2028-02-01, [0.9369060888174405, 0.8431415658163304, 5.326645882725322, 12.143306462640908]
13178 : 2028-02-01, [1.1273310751534085, 1.076665819050153, 3.945756904551662, 13.350246201244778]
13179 : 2028-02-01, [0.13297770229528202, 1.1900276742907192, 4.216608014231352, 14.210386609182645]
13180 : 2028-02-01, [0.5856958848364758, 0.2805967619747463, 1.2961865332038387, 17.837520819984938]
